Code   Colat Long   alt(m) year    D         I        H      X     Y      Z      F
FLB    6.550 298.633  -999 1876.0  -97.950   84.700   5233   -724  -5183  56409  56651
ALE    7.500 297.650    60 1961.9  -79.287   85.970   3899    728  -3833  55330  55467
ALE    7.500 297.650    60 1962.5  -79.462   86.020   3849    707  -3786  55297  55430
ALE    7.500 297.650    60 1963.5  -79.362   86.045   3825    709  -3761  55310  55442
ALE    7.500 297.650    60 1964.5  -79.253   86.053   3819    715  -3754  55348  55479
ALE    7.500 297.650    60 1965.5  -78.967   86.075   3800    730  -3732  55366  55496
ALE    7.500 297.650    60 1966.5  -79.212   86.095   3784    711  -3719  55415  55544
ALE    7.500 297.650    60 1967.5  -79.315   86.098   3783    704  -3719  55455  55583
ALE    7.500 297.650    60 1968.5  -79.470   86.102   3783    694  -3721  55496  55624
ALE    7.500 297.650    60 1969.5  -79.617   86.107   3780    684  -3720  55537  55665
ALE    7.500 297.650    60 1970.5  -79.853   86.120   3771    667  -3714  55583  55710
ALE    7.500 297.650    60 1971.5  -79.862   86.132   3763    665  -3706  55644  55771
ALE    7.500 297.650    60 1972.5  -79.812   86.152   3745    665  -3688  55670  55795
ALE    7.500 297.650    60 1973.5  -79.650   86.175   3731    673  -3672  55794  55918
ALE    7.500 297.650    60 1974.5  -79.235   86.195   3708    695  -3645  55744  55867
ALE    7.500 297.650    60 1975.5  -79.008   86.192   3716    711  -3650  55812  55935
ALE    7.500 297.650    60 1976.5  -78.208   86.217   3698    758  -3622  55913  56035
ALE    7.500 297.650    60 1977.5  -77.708   86.267   3650    779  -3568  55929  56047
ALE    7.500 297.650    60 1978.5  -77.753   86.237   3679    782  -3597  55924  56044
ALE    7.500 297.650    60 1979.5  -77.470   86.232   3683    801  -3596  55903  56024
ALE    7.500 297.650    60 1980.5  -77.198   86.238   3674    816  -3584  55865  55985
ALE    7.500 297.650    60 1981.5  -76.857   86.238   3672    837  -3577  55835  55955
ALE    7.500 297.650    60 1982.5  -76.472   86.253   3655    857  -3555  55813  55932
ALE    7.500 297.650    60 1983.5  -76.542   86.277   3631    847  -3533  55795  55913
ALE    7.500 297.650    60 1984.5  -76.477   86.273   3633    851  -3534  55770  55888
ALE    7.500 297.650    60 1985.5  -76.140   86.293   3611    866  -3507  55724  55840
ALE    7.500 297.650    60 1986.5  -75.733   86.328   3574    882  -3465  55685  55799
ALE    7.500 297.650    60 1987.5  -75.472   86.333   3567    896  -3454  55647  55761
ALE    7.500 297.650    60 1988.5  -75.205   86.347   3552    908  -3435  55632  55745
ALE    7.500 297.650    60 1989.5  -74.393   86.378   3521    948  -3392  55613  55724
ALE    7.500 297.650    60 1990.5  -74.345   86.388   3510    948  -3381  55595  55705
ALE    7.500 297.650    60 1991.5  -74.280   86.397   3500    949  -3370  55581  55691
ALE    7.500 297.650    60 1992.5  -73.645   86.413   3482    981  -3342  55545  55654
ALE    7.500 297.650    60 1993.5  -73.247   86.417   3478   1003  -3331  55539  55647
ALE    7.500 297.650    60 1994.5  -72.687   86.415   3480   1036  -3323  55543  55651
ALE    7.500 297.650    60 1995.5  -72.000   86.427   3468   1072  -3299  55525  55633
ALE    7.500 297.650    60 1996.5  -71.303   86.435   3460   1109  -3277  55519  55627
ALE    7.500 297.650    60 1997.5  -70.495   86.440   3453   1153  -3255  55517  55624
ALE    7.500 297.650    60 1998.5  -69.627   86.453   3441   1198  -3226  55521  55628
ALE    7.500 297.650    60 1999.5  -68.710   86.447   3448   1252  -3213  55528  55635
ALE    7.500 297.650    60 2000.5  -67.510   86.448   3448   1319  -3186  55553  55660
ALE    7.500 297.650    60 2001.5  -66.550   86.438   3458   1376  -3172  55564  55672
ALE    7.500 297.650    60 2002.5  -65.432   86.433   3464   1440  -3150  55590  55698
ALE    7.500 297.650    60 2003.5  -64.433   86.438   3463   1494  -3123  55635  55743
ALE    7.500 297.650    60 2004.5  -63.345   86.435   3467   1555  -3098  55651  55759
TPB    8.200  57.983  -999 1904.1   22.700   83.207   6766   6242   2611  56798  57200
DIS    8.267 295.267  -999 1876.0 -101.733   84.833   5160  -1049  -5052  57066  57299
FCR    8.267 295.267  -999 1883.0 -100.617   85.012   5160   -951  -5072  59120  59345
HIS    9.383  58.050    20 1959.5   24.365   84.497   5486   4997   2263  56936  57200
HIS    9.383  58.050    20 1960.5   24.350   84.532   5452   4967   2248  56947  57208
HIS    9.383  58.050    20 1961.5   24.437   84.550   5435   4948   2248  56972  57231
HIS    9.383  58.050    20 1962.5   24.445   84.563   5427   4941   2246  57018  57276
HIS    9.383  58.050    20 1963.5   24.457   84.572   5424   4937   2246  57086  57343
HIS    9.383  58.050    20 1964.5   24.462   84.572   5429   4942   2248  57128  57386
HIS    9.383  58.050    20 1965.5   24.338   84.572   5432   4949   2239  57160  57418
HIS    9.383  58.050    20 1966.5   24.255   84.580   5428   4949   2230  57206  57463
HIS    9.383  58.050    20 1967.5   24.113   84.580   5432   4958   2219  57256  57513
HIS    9.383  58.050    20 1968.5   23.978   84.578   5433   4964   2208  57243  57500
HIS    9.383  58.050    20 1969.5   23.682   84.568   5446   4987   2187  57272  57530
HIS    9.383  58.050    20 1970.5   23.167   84.555   5461   5021   2148  57292  57552
HIS    9.383  58.050    20 1971.5   23.250   84.573   5445   5003   2149  57310  57568
HIS    9.383  58.050    20 1972.5   23.167   84.572   5450   5011   2144  57350  57608
HIS    9.383  58.050    20 1973.5   22.595   84.588   5433   5016   2087  57359  57615
HIS    9.383  58.050    20 1974.5  888.888   84.608   5424  88888  88888  57460  57715
HIS    9.383  58.050    20 1975.5  888.888   84.605   5429  88888  88888  57486  57742
HIS    9.383  58.050    20 1976.5   22.500   84.605   5430   5017   2078  57490  57746
HIS    9.383  58.050    20 1977.5   22.667   84.625   5410   4992   2085  57500  57754
HIS    9.383  58.050    20 1978.5   22.833   84.628   5410   4986   2099  57530  57784
HIS    9.383  58.050    20 1979.5   22.667   84.658   5380   4964   2073  57540  57790
HIS    9.383  58.050    20 1980.5   22.883   84.678   5360   4938   2084  57545  57794
HIS    9.383  58.050    20 1981.5   23.250   84.698   5340   4906   2108  57545  57792
HIS    9.383  58.050    20 1982.5   23.083   84.717   5320   4894   2086  57530  57775
HIS    9.383  58.050    20 1983.5   23.083   84.750   5280   4857   2070  57470  57712
HIS    9.383  58.050    20 1984.5   23.333   84.780   5250   4821   2079  57460  57699
HIS    9.383  58.050    20 1985.5   23.417   84.807   5220   4790   2075  57430  57667
HIS    9.383  58.050    20 1986.5   23.833   84.842   5180   4738   2093  57380  57613
HIS    9.383  58.050    20 1987.5   24.000   84.867   5150   4705   2095  57320  57551
HIS    9.383  58.050    20 1988.5   24.167   84.905   5110   4662   2092  57310  57537
HIS    9.383  58.050    20 1989.5   24.333   84.943   5070   4620   2089  57300  57524
HIS    9.383  58.050    20 1990.5   24.500   84.970   5040   4586   2090  57270  57491
HIS    9.383  58.050    20 1991.5   24.580   84.992   5018   4563   2087  57261  57480
HIS    9.383  58.050    20 1992.5   24.667   85.028   4980   4526   2078  57240  57456
HIS    9.383  58.050    20 1993.5   24.750   85.045   4960   4504   2077  57220  57435
HIS    9.383  58.050    20 1994.2   24.917   85.050   4955   4494   2088  57210  57425
ALG    9.633  56.100  -999 1905.5   20.473   82.763   7161   6709   2505  56395  56848
TKH    9.667  52.800  -999 1933.1   21.122   83.105   6603   6159   2379  54602  55000
TKH    9.667  52.800  -999 1933.5   21.182   83.112   6598   6152   2384  54611  55008
TKH    9.667  52.800  -999 1934.5   21.463   83.133   6567   6112   2403  54534  54928
TKH    9.667  52.800  -999 1935.5   21.743   83.178   6529   6064   2419  54578  54967
TKH    9.667  52.800  -999 1936.5   21.972   83.213   6500   6028   2432  54614  54999
TKH    9.667  52.800  -999 1937.5   22.137   83.245   6472   5995   2439  54647  55029
TKH    9.667  52.800  -999 1938.5   22.338   83.278   6442   5959   2448  54656  55034
TKH    9.667  52.800  -999 1939.5   22.613   83.308   6415   5922   2467  54680  55055
TKH    9.667  52.800  -999 1940.5   22.900   83.342   6388   5885   2486  54721  55093
TKH    9.667  52.800  -999 1941.5   23.128   83.373   6355   5844   2496  54699  55067
TKH    9.667  52.800  -999 1942.5   23.242   83.385   6342   5827   2503  54680  55047
TKH    9.667  52.800  -999 1943.5   23.488   83.407   6327   5803   2522  54734  55098
TKH    9.667  52.800  -999 1944.5   23.702   83.415   6318   5785   2540  54730  55093
TKH    9.667  52.800  -999 1945.5   23.930   83.447   6291   5750   2552  54762  55122
TKH    9.667  52.800  -999 1946.5   24.143   83.483   6261   5713   2561  54806  55162
TKH    9.667  52.800  -999 1951.5   25.533   83.567   6193   5588   2669  54918  55266
TKH    9.667  52.800  -999 1952.5  888.888  888.888   6160  88888  88888  88888  88888
TKH    9.667  52.800  -999 1953.5   25.883  888.888   6165   5547   2691  88888  88888
TKH    9.667  52.800  -999 1954.5   25.962   83.618   6151   5530   2693  54995  55338
TKH    9.667  52.800  -999 1955.5   26.115   83.632   6141   5514   2703  55024  55366
TKH    9.667  52.800  -999 1956.5   26.145   83.640   6136   5508   2704  55044  55385
TKH    9.667  52.800  -999 1957.5   26.243   83.648   6130   5498   2711  55066  55406
TKH    9.667  52.800  -999 1958.5   26.252  888.888  88888  88888  88888  88888  88888
NAL   11.083  11.933    12 1966.5   -4.017   81.840   7650   7631   -536  53350  53896
NAL   11.083  11.933    12 1967.5   -4.100   81.843   7655   7635   -547  53405  53951
NAL   11.083  11.933    12 1968.5   -4.183   81.845   7658   7638   -559  53440  53986
NAL   11.083  11.933    12 1969.5   -4.267   81.848   7662   7641   -570  53490  54036
NAL   11.083  11.933    12 1970.5   -4.333   81.852   7665   7643   -579  53535  54081
NAL   11.083  11.933    12 1971.5   -4.367   81.853   7670   7648   -584  53580  54126
NAL   11.083  11.933    12 1972.5   -4.350   81.857   7673   7651   -582  53620  54166
NAL   11.083  11.933    12 1973.5   -4.333   81.862   7675   7653   -580  53670  54216
NAL   11.083  11.933    12 1974.5   -4.283   81.870   7676   7655   -573  53730  54276
NAL   11.083  11.933    12 1975.5   -4.200   81.875   7676   7655   -562  53770  54315
NAL   11.083  11.933    12 1976.5   -4.083   81.882   7675   7656   -547  53800  54345
NAL   11.083  11.933    12 1977.5   -3.950   81.895   7667   7649   -528  53835  54378
NAL   11.083  11.933    12 1978.5   -3.783   81.918   7650   7633   -505  53880  54420
NAL   11.083  11.933    12 1979.5   -3.583   81.942   7633   7618   -477  53910  54448
NAL   11.083  11.933    12 1980.5   -3.450   81.952   7620   7606   -459  53892  54428
NAL   11.083  11.933    12 1981.5   -3.217   81.983   7590   7578   -426  53897  54429
NAL   11.083  11.933    12 1982.5   -3.067   82.002   7570   7559   -405  53880  54409
NAL   11.083  11.933    12 1983.5   -2.933   82.022   7550   7540   -386  53870  54397
NAL   11.083  11.933    12 1984.5   -2.817   82.042   7525   7516   -370  53830  54353
NAL   11.083  11.933    12 1985.5   -2.547   82.065   7500   7493   -333  53806  54326
NAL   11.083  11.933    12 1986.5   -2.723   82.097   7468   7460   -355  53791  54307
NAL   11.083  11.933    12 1987.5   -2.540   82.115   7446   7439   -330  53765  54278
NAL   11.083  11.933    12 1988.5   -2.457   82.162   7401   7394   -317  53763  54270
NAL   11.083  11.933    12 1989.5   -2.377   82.167   7396   7390   -307  53757  54263
NAL   11.083  11.933    12 1990.5   -2.345   82.192   7371   7365   -302  53751  54254
NAL   11.083  11.933    12 1991.5   -1.922   82.190   7372   7368   -247  53749  54252
NAL   11.083  11.933    12 1992.5   -1.963   82.218   7343   7339   -252  53731  54230
NAL   11.083  11.933    12 1993.5   -1.685   82.230   7332   7329   -216  53731  54229
NAL   11.083  11.933    12 1994.5   -1.357   82.255   7309   7307   -173  53743  54238
NAL   11.083  11.933    12 1995.5   -1.195   82.280   7286   7284   -152  53748  54240
NAL   11.083  11.933    12 1996.5   -0.928   82.282   7286   7285   -118  53756  54248
NAL   11.083  11.933    12 1997.5   -0.605   82.310   7261   7261    -77  53778  54266
NAL   11.083  11.933    12 1998.5   -0.272   82.338   7238   7238    -34  53810  54295
NAL   11.083  11.933    12 1999.5   -0.165   82.332   7247   7247    -21  53821  54307
NAL   11.083  11.933    12 2000.5    0.332   82.317   7263   7263     42  53841  54329
NAL   11.083  11.933    12 2001.5    0.892   82.318   7267   7266    113  53883  54371
NAL   11.083  11.933    12 2002.5    0.872   82.353   7240   7239    110  53927  54411
VAN   11.383 289.333  -999 1854.1 -108.200   84.763   5252  -1640  -4989  57303  57543
RFH   11.467 287.617  -999 1924.1  -99.825   85.785   4136   -706  -4075  56118  56270
CTH   11.533  15.700  -999 1883.2  -11.692   80.250   9044   8856  -1833  52629  53400
PFK   11.700 287.000  -999 1861.0 -111.667   85.033   4998  -1845  -4645  57512  57729
ETA2  11.683 287.300  -999 1923.6 -101.500   86.030   3924   -782  -3845  56540  56676
ETA2  11.683 287.300  -999 1925.6  888.888   86.035   3900  88888  88888  56265  56400
ETA3  11.683 287.333  -999 1938.1  -97.177   85.975   3928   -491  -3897  55823  55961
ETA3  11.683 287.333  -999 1941.6  -93.350   86.233   3671   -215  -3665  55759  55880
ETA4  11.683 287.267  -999 1947.6  -91.067   86.208   3682    -68  -3681  55556  55678
ETA1  11.700 287.333  -999 1908.6 -104.267   85.973   3959   -976  -3837  56239  56378
ILN   12.083 320.767  -999 1966.6  -49.025   83.073   6581   4316  -4968  54178  54576
ILN   12.083 320.767  -999 1967.6  -48.883   83.063   6598   4339  -4971  54232  54632
SVG   12.100  16.750  -999 1933.2   -4.895   80.990   8328   8298   -711  52524  53180
CCS   12.283 104.283    10 1935.5   25.535   86.012   4024   3631   1735  57714  57854
CCS   12.283 104.283    10 1936.5   25.348   86.050   3979   3596   1703  57650  57787
CCS   12.283 104.283    10 1939.5   25.037   86.162   3892   3526   1647  58023  58154
CCS   12.283 104.283    10 1940.5   24.958   86.203   3850   3490   1625  58037  58165
CCS   12.283 104.283    10 1941.5   24.912   86.245   3810   3456   1605  58073  58198
CCS   12.283 104.283    10 1942.5   24.862   86.270   3787   3436   1592  58101  58224
CCS   12.283 104.283    10 1943.5   24.932   86.307   3751   3401   1581  58116  58237
CCS   12.283 104.283    10 1944.5   24.915   86.330   3728   3381   1571  58138  58258
CCS   12.283 104.283    10 1945.5   25.038   86.358   3700   3352   1566  58158  58276
CCS   12.283 104.283    10 1951.5   24.603   86.585   3482   3166   1450  58358  58462
CCS   12.283 104.283    10 1954.5   24.200   86.660   3410   3110   1398  58451  58550
CCS   12.283 104.283    10 1955.5   24.107   86.677   3396   3100   1387  58493  58592
CCS   12.283 104.283    10 1956.5   23.872   86.697   3379   3090   1367  58542  58640
CCS   12.283 104.283    10 1957.5   23.500   86.712   3365   3086   1342  58572  58669
CCS   12.283 104.283    10 1958.5   23.198   86.720   3359   3087   1323  58615  58711
CCS   12.283 104.283    10 1959.5   22.783   86.732   3350   3089   1297  58661  58757
CCS   12.283 104.283    10 1960.5   22.422   86.742   3341   3088   1274  58691  58786
CCS   12.283 104.283    10 1961.5   21.937   86.742   3343   3101   1249  58724  58819
CCS   12.283 104.283    10 1962.5   21.605   86.745   3342   3107   1231  58769  58864
CCS   12.283 104.283    10 1963.5   21.403   86.743   3347   3116   1221  58815  58910
CCS   12.283 104.283    10 1964.5   21.052   86.737   3357   3133   1206  58863  58959
CCS   12.283 104.283    10 1965.5   20.743   86.725   3370   3152   1194  58903  58999
CCS   12.283 104.283    10 1966.5   20.403   86.718   3379   3167   1178  58928  59025
CCS   12.283 104.283    10 1967.5   20.117   86.707   3392   3185   1167  58940  59038
CCS   12.283 104.283    10 1968.5   19.585   86.695   3406   3209   1142  58976  59074
CCS   12.283 104.283    10 1969.5   19.287   86.667   3436   3243   1135  58995  59095
CCS   12.283 104.283    10 1970.5   18.812   86.645   3459   3274   1115  59012  59113
CCS   12.283 104.283    10 1971.5   18.417   86.630   3476   3298   1098  59030  59132
CCS   12.283 104.283    10 1972.5   18.035   86.613   3494   3322   1082  59057  59160
CCS   12.283 104.283    10 1973.5   17.668   86.610   3501   3336   1063  59086  59190
CCS   12.283 104.283    10 1974.5   17.302   86.610   3501   3343   1041  59116  59220
CCS   12.283 104.283    10 1975.5   16.885   86.602   3511   3360   1020  59131  59235
CCS   12.283 104.283    10 1976.5   16.602   86.602   3511   3365   1003  59138  59242
CCS   12.283 104.283    10 1977.5   16.310   86.607   3507   3366    985  59142  59246
CCS   12.283 104.283    10 1978.5   16.057   86.628   3485   3349    964  59156  59259
CCS   12.283 104.283    10 1979.5   15.767   86.640   3473   3342    944  59155  59257
CCS   12.283 104.283    10 1980.5   15.582   86.653   3457   3330    929  59125  59226
CCS   12.283 104.283    10 1981.5   15.462   86.683   3425   3301    913  59088  59187
CCS   12.283 104.283    10 1982.5   15.453   86.717   3390   3268    903  59096  59194
CCS   12.283 104.283    10 1983.5   15.362   86.735   3367   3247    892  59029  59125
CCS   12.283 104.283    10 1984.5   15.363   86.770   3330   3211    882  58992  59086
CCS   12.283 104.283    10 1985.5   15.227   86.790   3305   3189    868  58935  59028
CCS   12.283 104.283    10 1986.5   15.000   86.802   3290   3178    852  58880  58972
CCS   12.283 104.283    10 1987.5   14.917   86.828   3260   3150    839  58830  58920
CCS   12.283 104.283    10 1988.5   14.833   86.865   3220   3113    824  58790  58878
CCS   12.283 104.283    10 1989.5   14.833   86.893   3190   3084    817  58770  58857
CCS   12.283 104.283    10 1990.5   15.083   86.920   3160   3051    822  58720  58805
CCS   12.283 104.283    10 1991.5   15.142   86.943   3134   3025    819  58694  58778
CCS   12.283 104.283    10 1992.5   15.167   86.970   3105   2997    812  58660  58741
CCS   12.283 104.283    10 1993.5   14.833   86.972   3100   2997    794  58605  58687
CCS   12.283 104.283    10 1994.5   14.767   86.997   3075   2973    784  58600  58681
CCS   12.283 104.283    10 1995.5   14.867   87.020   3050   2948    783  58605  58688
CCS   12.283 104.283    10 1996.5   14.700   87.058   3010   2911    764  58590  58663
CCS   12.283 104.283    10 1997.5   14.633   87.078   2990   2893    755  58585  58662
CCS   12.283 104.283    10 1998.5   14.577   87.108   2962   2867    745  58644  58719
CCS   12.283 104.283    10 1999.5   14.695   87.122   2950   2854    748  58675  58749
CCS   12.283 104.283    10 2000.5   14.762   87.143   2929   2832    746  58709  58781
CCS   12.283 104.283    10 2002.5   12.382   87.287   2789   2724    598  58850  58916
CCS   12.283 104.283    10 2003.5   12.632   87.178   2899   2829    634  58818  58889
CCS   12.283 104.283    10 2004.5   12.263   87.217   2863   2798    608  58892  58961
CCS   12.283 104.283    10 2005.5   12.173   87.242   2836   2772    598  58862  58930
CCS   12.283 104.283    10 2006.5   12.407   87.252   2826   2760    607  58866  58934
CCS   12.283 104.283    10 2007.5   12.725   87.263   2814   2745    620  58869  58936
THL   12.517 290.833    57 1955.8  -80.167   85.813   4089    698  -4029  55853  56002
THL   12.517 290.833    57 1956.5  -79.933   85.822   4082    714  -4019  55870  56019
THL   12.517 290.833    57 1957.5  -79.767   85.840   4068    723  -4003  55927  56075
THL   12.517 290.833    57 1958.5  -79.545   85.850   4059    737  -3992  55949  56096
THL   12.517 290.833    57 1959.5  -79.350   85.865   4048    748  -3978  55983  56129
THL   12.517 290.833    57 1960.5  -79.125   85.877   4038    762  -3965  56014  56159
THL   12.517 290.833    57 1961.5  -78.917   85.893   4025    774  -3950  56049  56193
THL   12.517 290.833    57 1962.5  -78.767   85.900   4019    783  -3942  56074  56218
THL   12.517 290.833    57 1963.5  -78.583   85.912   4010    794  -3931  56113  56256
THL   12.517 290.833    57 1964.5  -78.450   85.920   4005    802  -3924  56149  56292
THL   12.517 290.833    57 1965.5  -78.333   85.930   3998    808  -3915  56180  56322
THL   12.517 290.833    57 1966.5  -78.267   85.943   3987    811  -3904  56225  56366
THL   12.517 290.833    57 1967.5  -78.267   85.960   3975    808  -3892  56277  56417
THL   12.517 290.833    57 1968.5  -78.183   85.970   3967    812  -3883  56318  56458
THL   12.517 290.833    57 1969.5  -78.150   85.980   3960    813  -3876  56349  56488
THL   12.517 290.833    57 1970.5  -78.117   85.993   3951    814  -3866  56412  56550
THL   12.517 290.833    57 1971.5  -78.083   86.008   3941    814  -3856  56470  56608
THL   12.517 290.833    57 1972.5  -77.883   86.015   3937    826  -3849  56513  56650
THL   12.517 290.833    57 1973.5  -77.633   86.025   3931    841  -3840  56564  56700
THL   12.517 290.833    57 1974.5  -77.300   86.033   3926    863  -3830  56621  56757
THL   12.517 290.833    57 1975.5  -76.950   86.038   3923    886  -3822  56641  56777
THL   12.517 290.833    57 1976.5  -76.433   86.040   3923    920  -3814  56663  56799
THL   12.517 290.833    57 1977.5  -75.900   86.040   3924    956  -3806  56674  56810
THL   12.517 290.833    57 1978.5  -75.417   86.042   3922    988  -3796  56684  56820
THL   12.517 290.833    57 1979.5  -74.933   86.042   3921   1019  -3786  56671  56806
THL   12.517 290.833    57 1980.5  -74.533   86.037   3925   1047  -3783  56649  56785
THL   12.517 290.833    57 1981.5  -74.150   86.037   3924   1072  -3775  56631  56767
THL   12.517 290.833    57 1982.5  -73.833   86.040   3919   1091  -3764  56622  56757
THL   12.517 290.833    57 1983.5  -73.517   86.045   3913   1110  -3752  56593  56728
THL   12.517 290.833    57 1984.5  -73.200   86.050   3906   1129  -3739  56567  56702
THL   12.517 290.833    57 1985.5  -72.883   86.058   3896   1147  -3723  56538  56672
THL   12.517 290.833    57 1986.5  -72.550   86.067   3885   1165  -3706  56506  56639
THL   12.517 290.833    57 1987.5  -72.133   86.072   3877   1189  -3690  56464  56597
THL   12.517 290.833    57 1988.5  -71.717   86.080   3868   1214  -3673  56448  56580
THL   12.517 290.833    57 1989.5  -71.250   86.088   3859   1240  -3654  56433  56565
THL   12.517 290.833    57 1990.5  -70.833   86.095   3850   1264  -3637  56410  56541
THL   12.517 290.833    57 1991.5  -70.333   86.102   3843   1294  -3619  56389  56520
THL   12.517 290.833    57 1992.5  -69.800   86.100   3842   1327  -3606  56362  56493
THL   12.517 290.833    57 1993.5  -69.233   86.100   3842   1362  -3592  56344  56475
THL   12.517 290.833    57 1994.5  -68.567   86.102   3840   1403  -3574  56342  56473
THL   12.517 290.833    57 1995.5  -67.817   86.102   3838   1449  -3554  56321  56452
THL   12.517 290.833    57 1996.5  -66.983   86.098   3840   1501  -3534  56302  56433
THL   12.517 290.833    57 1997.5  -66.100   86.095   3843   1557  -3514  56295  56426
THL   12.517 290.833    57 1998.5  -65.150   86.087   3852   1619  -3495  56297  56429
THL   12.517 290.833    57 1999.5  -64.150   86.073   3864   1685  -3477  56292  56424
THL   12.517 290.833    57 2000.5  -63.167   86.060   3877   1750  -3460  56298  56431
THL   12.517 290.833    57 2001.5  -62.117   86.043   3893   1821  -3441  56295  56429
THL   12.517 290.833    57 2002.5  -61.050   86.030   3907   1891  -3419  56299  56434
THL   12.517 290.833    57 2003.5  -60.033   86.020   3919   1958  -3395  56329  56465
THL   12.517 290.833    57 2004.5  -59.017   86.002   3937   2027  -3375  56322  56459
THL   12.517 290.833    57 2005.5  -58.015   85.985   3953   2094  -3353  56320  56459
THL   12.517 290.833    57 2006.5  -57.022   85.965   3972   2162  -3332  56304  56444
THL   12.517 290.833    57 2007.5  -56.067   85.948   3987   2226  -3308  56302  56443
THL   12.517 290.833    57 2008.5  -55.093   85.930   4006   2292  -3285  56293  56435
THL   12.517 290.833    57 2009.5  -54.082   85.907   4027   2362  -3261  56273  56417
THL   12.517 290.833    57 2010.5  -53.042   85.887   4046   2433  -3233  56265  56410
THL   12.517 290.833    57 2011.5  -52.003   85.868   4063   2501  -3202  56249  56396
THL   12.517 290.833    57 2012.5  -50.907   85.845   4084   2575  -3169  56232  56380
THL   12.517 290.833    57 2013.5  -49.858   85.823   4103   2645  -3136  56202  56352
THL   12.517 290.833    57 2014.5  -48.872   85.808   4117   2708  -3101  56175  56326
HRN   13.000  15.550    15 1978.9   -0.657   81.093   8374   8373    -96  53437  54089
HRN   13.000  15.550    15 1979.5   -0.530   81.085   8384   8384    -78  53447  54101
HRN   13.000  15.550    15 1980.5   -0.233   81.100   8370   8370    -34  53447  54098
HRN   13.000  15.550    15 1981.5   -0.150   81.120   8351   8351    -22  53449  54097
HRN   13.000  15.550    15 1982.5   -0.157   81.158   8319   8319    -23  53481  54124
HRN   13.000  15.550    15 1983.5   -0.033   81.180   8295   8295     -5  53457  54097
HRN   13.000  15.550    15 1984.5    0.128   81.207   8266   8266     18  53439  54075
HRN   13.000  15.550    15 1985.5    0.237   81.230   8238   8238     34  53405  54037
HRN   13.000  15.550    15 1986.5    0.340   81.255   8213   8213     49  53392  54020
HRN   13.000  15.550    15 1987.5    0.427   81.272   8193   8193     61  53360  53985
HRN   13.000  15.550    15 1988.5    0.583   81.298   8168   8168     83  53368  53989
HRN   13.000  15.550    15 1989.5    0.683   81.320   8148   8147     97  53369  53987
HRN   13.000  15.550    15 1990.5    0.787   81.345   8122   8121    111  53360  53975
HRN   13.000  15.550    15 1991.5    0.883   81.360   8107   8106    125  53355  53967
HRN   13.000  15.550    15 1992.5    1.023   81.380   8088   8087    144  53352  53962
HRN   13.000  15.550    15 1993.5    1.215   81.405   8065   8063    171  53356  53962
HRN   13.000  15.550    15 1994.5    1.432   81.430   8044   8041    201  53374  53977
HRN   13.000  15.550    15 1995.5    1.640   81.435   8038   8035    230  53374  53976
HRN   13.000  15.550    15 1996.5    1.857   81.453   8023   8019    260  53385  53985
HRN   13.000  15.550    15 1997.5    2.120   81.477   8004   7999    296  53406  54003
HRN   13.000  15.550    15 1998.5    2.400   81.485   8001   7994    335  53440  54036
HRN   13.000  15.550    15 1999.5    2.652   81.493   7998   7989    370  53471  54066
HRN   13.000  15.550    15 2000.5    2.925   81.500   7996   7986    408  53504  54098
HRN   13.000  15.550    15 2001.5    3.208   81.510   7992   7979    447  53542  54135
HRN   13.000  15.550    15 2002.5    3.495   81.520   7989   7974    487  53585  54177
HRN   13.000  15.550    15 2003.5    3.830   81.555   7965   7947    532  53646  54234
HRN   13.000  15.550    15 2004.5    4.070   81.563   7961   7941    565  53675  54262
HRN   13.000  15.550    15 2005.5    4.342   81.577   7953   7930    602  53707  54293
HRN   13.000  15.550    15 2006.5    4.603   81.575   7958   7932    639  53727  54314
HRN   13.000  15.550    15 2007.5    4.855   81.587   7950   7922    673  53757  54342
HRN   13.000  15.550    15 2008.5    5.132   81.602   7941   7909    710  53785  54368
HRN   13.000  15.550    15 2009.5    5.425   81.607   7939   7903    750  53804  54387
HRN   13.000  15.550    15 2010.5    5.762   81.623   7928   7888    796  53837  54418
HRN   13.000  15.550    15 2011.5    6.097   81.637   7920   7875    841  53868  54447
HRN   13.000  15.550    15 2012.5    6.470   81.652   7910   7860    891  53900  54477
HRN   13.000  15.550    15 2013.5    6.847   81.662   7903   7846    942  53920  54497
HRN   13.000  15.550    15 2014.5    7.147   81.673   7895   7833    982  53947  54521
HRN   13.000  15.550    15 2015.5    7.510   81.695   7881   7813   1030  53988  54560
HRN   13.000  15.550    15 2016.5    7.892   81.720   7862   7787   1079  54021  54590
THD   13.467 291.100  -999 1933.2  -81.353   85.315   4570    687  -4518  55757  55944
THU   13.467 290.950  -999 1947.5  -77.808   85.452   4436    937  -4336  55759  55935
THU   13.467 290.950  -999 1948.5  -77.617   85.455   4432    950  -4329  55764  55940
THU   13.467 290.950  -999 1949.5  -77.393   85.463   4427    966  -4320  55784  55959
THU   13.467 290.950  -999 1950.5  -77.183   85.478   4414    979  -4304  55812  55986
THU   13.467 290.950  -999 1951.5  -76.900   85.488   4404    998  -4289  55815  55988
THU   13.467 290.950  -999 1952.5  -76.767   85.492   4402   1008  -4285  55826  55999
JKI   13.567  95.133  -999 1939.2   29.237   85.193   4799   4188   2344  57070  57271
